timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648156197141,285,Get,200,OK,Thread Group 1-101,text,true,,415,189,58,58,https://restful-booker.herokuapp.com/booking/619,285,0,0
1648156197116,311,Patch,200,OK,Thread Group 1-83,text,true,,424,268,58,58,https://restful-booker.herokuapp.com/booking/601,311,0,0
1648156197117,312,Patch,200,OK,Thread Group 1-85,text,true,,424,268,58,58,https://restful-booker.herokuapp.com/booking/603,312,0,0
1648156197139,292,Patch,200,OK,Thread Group 1-72,text,true,,424,268,58,58,https://restful-booker.herokuapp.com/booking/590,292,0,0
1648156197176,257,Permission,200,OK,Thread Group 1-97,text,true,,271,256,58,58,https://restful-booker.herokuapp.com/auth,257,0,0
1648156197139,295,Patch,200,OK,Thread Group 1-78,text,true,,424,268,58,58,https://restful-booker.herokuapp.com/booking/596,295,0,0
1648156197140,301,Patch,200,OK,Thread Group 1-70,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/588,301,0,0
1648156197141,304,Patch,200,OK,Thread Group 1-86,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/604,304,0,0
1648156197142,305,Patch,200,OK,Thread Group 1-88,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/606,305,0,0
1648156197146,307,Patch,200,OK,Thread Group 1-87,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/605,307,0,0
1648156197142,318,Patch,200,OK,Thread Group 1-69,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/587,318,0,0
1648156197203,257,Permission,200,OK,Thread Group 1-96,text,true,,271,256,59,59,https://restful-booker.herokuapp.com/auth,257,0,0
1648156196424,1059,Create ,200,OK,Thread Group 1-107,text,true,,443,407,59,59,https://restful-booker.herokuapp.com/booking/,1059,0,779
1648156197205,286,Get,200,OK,Thread Group 1-102,text,true,,415,189,59,59,https://restful-booker.herokuapp.com/booking/620,286,0,0
1648156197211,285,Get,200,OK,Thread Group 1-103,text,true,,415,189,59,59,https://restful-booker.herokuapp.com/booking/621,285,0,0
1648156197188,310,Update,200,OK,Thread Group 1-92,text,true,,424,448,59,59,https://restful-booker.herokuapp.com/booking/610,310,0,0
1648156197204,297,Update,200,OK,Thread Group 1-93,text,true,,424,448,60,60,https://restful-booker.herokuapp.com/booking/611,297,0,0
1648156197192,312,Update,200,OK,Thread Group 1-91,text,true,,424,448,60,60,https://restful-booker.herokuapp.com/booking/609,312,0,0
1648156197225,287,Update,200,OK,Thread Group 1-94,text,true,,424,448,60,60,https://restful-booker.herokuapp.com/booking/612,287,0,0
1648156196484,1031,Create ,200,OK,Thread Group 1-108,text,true,,443,407,60,60,https://restful-booker.herokuapp.com/booking/,1031,0,771
1648156197259,262,Update,200,OK,Thread Group 1-95,text,true,,424,448,60,60,https://restful-booker.herokuapp.com/booking/613,261,0,0
1648156197299,263,Permission,200,OK,Thread Group 1-98,text,true,,271,256,61,61,https://restful-booker.herokuapp.com/auth,263,0,0
1648156197300,264,Permission,200,OK,Thread Group 1-99,text,true,,271,256,61,61,https://restful-booker.herokuapp.com/auth,264,0,0
1648156197298,267,Delete,201,Created,Thread Group 1-68,text,true,,248,242,61,61,https://restful-booker.herokuapp.com/booking/586,267,0,0
1648156197311,285,Permission,200,OK,Thread Group 1-100,text,true,,271,256,60,60,https://restful-booker.herokuapp.com/auth,285,0,0
1648156197299,320,Get,200,OK,Thread Group 1-104,text,true,,415,189,60,60,https://restful-booker.herokuapp.com/booking/622,319,0,0
1648156197426,265,Permission,200,OK,Thread Group 1-101,text,true,,271,256,62,62,https://restful-booker.herokuapp.com/auth,265,0,0
1648156196551,1187,Create ,200,OK,Thread Group 1-109,text,true,,443,407,62,62,https://restful-booker.herokuapp.com/booking/,1187,0,784
1648156197491,266,Permission,200,OK,Thread Group 1-102,text,true,,271,256,63,63,https://restful-booker.herokuapp.com/auth,266,0,0
1648156197496,271,Permission,200,OK,Thread Group 1-103,text,true,,271,256,63,63,https://restful-booker.herokuapp.com/auth,271,0,0
1648156197345,437,Get,200,OK,Thread Group 1-105,text,true,,415,189,63,63,https://restful-booker.herokuapp.com/booking/623,437,0,0
1648156197314,474,Delete,201,Created,Thread Group 1-71,text,true,,248,242,63,63,https://restful-booker.herokuapp.com/booking/589,474,0,0
1648156196664,1127,Create ,200,OK,Thread Group 1-111,text,true,,443,407,62,62,https://restful-booker.herokuapp.com/booking/,1127,0,759
1648156197330,462,Delete,201,Created,Thread Group 1-74,text,true,,248,242,62,62,https://restful-booker.herokuapp.com/booking/592,462,0,0
1648156196603,1190,Create ,200,OK,Thread Group 1-110,text,true,,443,407,61,61,https://restful-booker.herokuapp.com/booking/,1190,0,791
1648156197423,372,Get,200,OK,Thread Group 1-106,text,true,,415,189,61,61,https://restful-booker.herokuapp.com/booking/624,372,0,0
1648156197333,464,Delete,201,Created,Thread Group 1-79,text,true,,248,242,61,61,https://restful-booker.herokuapp.com/booking/597,463,0,0
1648156197332,466,Delete,201,Created,Thread Group 1-66,text,true,,248,242,60,60,https://restful-booker.herokuapp.com/booking/584,466,0,0
1648156197333,465,Delete,201,Created,Thread Group 1-73,text,true,,248,242,60,60,https://restful-booker.herokuapp.com/booking/591,465,0,0
1648156197334,468,Delete,201,Created,Thread Group 1-76,text,true,,248,242,59,59,https://restful-booker.herokuapp.com/booking/594,468,0,0
1648156197483,321,Get,200,OK,Thread Group 1-107,text,true,,415,189,58,58,https://restful-booker.herokuapp.com/booking/625,321,0,0
1648156197337,477,Delete,201,Created,Thread Group 1-82,text,true,,248,242,58,58,https://restful-booker.herokuapp.com/booking/600,477,0,0
1648156197343,472,Delete,201,Created,Thread Group 1-84,text,true,,248,242,57,57,https://restful-booker.herokuapp.com/booking/602,472,0,0
1648156197337,479,Patch,200,OK,Thread Group 1-89,text,true,,424,268,57,57,https://restful-booker.herokuapp.com/booking/607,479,0,0
1648156197363,453,Patch,200,OK,Thread Group 1-90,text,true,,424,268,56,56,https://restful-booker.herokuapp.com/booking/608,453,0,0
1648156197518,299,Get,200,OK,Thread Group 1-108,text,true,,415,189,56,56,https://restful-booker.herokuapp.com/booking/626,299,0,0
1648156197337,480,Delete,201,Created,Thread Group 1-81,text,true,,248,242,56,56,https://restful-booker.herokuapp.com/booking/599,480,0,0
1648156197336,483,Delete,201,Created,Thread Group 1-67,text,true,,248,242,55,55,https://restful-booker.herokuapp.com/booking/585,483,0,0
1648156197354,465,Delete,201,Created,Thread Group 1-77,text,true,,248,242,55,55,https://restful-booker.herokuapp.com/booking/595,465,0,0
1648156197362,458,Delete,201,Created,Thread Group 1-80,text,true,,248,242,53,53,https://restful-booker.herokuapp.com/booking/598,458,0,0
1648156196723,1096,Create ,200,OK,Thread Group 1-112,text,true,,443,407,55,55,https://restful-booker.herokuapp.com/booking/,1096,0,771
1648156197433,394,Update,200,OK,Thread Group 1-97,text,true,,424,448,52,52,https://restful-booker.herokuapp.com/booking/614,394,0,0
1648156197425,403,Delete,201,Created,Thread Group 1-75,text,true,,248,242,52,52,https://restful-booker.herokuapp.com/booking/593,403,0,0
1648156197427,402,Delete,201,Created,Thread Group 1-83,text,true,,248,242,51,51,https://restful-booker.herokuapp.com/booking/601,402,0,0
1648156197429,401,Delete,201,Created,Thread Group 1-85,text,true,,248,242,50,50,https://restful-booker.herokuapp.com/booking/603,401,0,0
1648156197431,400,Delete,201,Created,Thread Group 1-72,text,true,,248,242,49,49,https://restful-booker.herokuapp.com/booking/590,400,0,0
1648156197442,390,Delete,201,Created,Thread Group 1-70,text,true,,248,242,48,48,https://restful-booker.herokuapp.com/booking/588,390,0,0
1648156197447,386,Delete,201,Created,Thread Group 1-88,text,true,,248,242,47,47,https://restful-booker.herokuapp.com/booking/606,386,0,0
1648156197453,381,Delete,201,Created,Thread Group 1-87,text,true,,248,242,46,46,https://restful-booker.herokuapp.com/booking/605,381,0,0
1648156197498,342,Patch,200,OK,Thread Group 1-92,text,true,,424,268,45,45,https://restful-booker.herokuapp.com/booking/610,342,0,0
1648156197521,323,Patch,200,OK,Thread Group 1-95,text,true,,424,268,45,45,https://restful-booker.herokuapp.com/booking/613,323,0,0
1648156197446,401,Delete,201,Created,Thread Group 1-86,text,true,,248,242,45,45,https://restful-booker.herokuapp.com/booking/604,401,0,0
1648156197434,414,Delete,201,Created,Thread Group 1-78,text,true,,248,242,44,44,https://restful-booker.herokuapp.com/booking/596,414,0,0
1648156197460,389,Update,200,OK,Thread Group 1-96,text,true,,424,448,43,43,https://restful-booker.herokuapp.com/booking/615,389,0,0
1648156197460,390,Delete,201,Created,Thread Group 1-69,text,true,,248,242,43,43,https://restful-booker.herokuapp.com/booking/587,390,0,0
1648156197501,350,Patch,200,OK,Thread Group 1-93,text,true,,424,268,42,42,https://restful-booker.herokuapp.com/booking/611,350,0,0
1648156197512,340,Patch,200,OK,Thread Group 1-94,text,true,,424,268,42,42,https://restful-booker.herokuapp.com/booking/612,340,0,0
1648156197504,348,Patch,200,OK,Thread Group 1-91,text,true,,424,268,42,42,https://restful-booker.herokuapp.com/booking/609,348,0,0
1648156196786,1069,Create ,200,OK,Thread Group 1-113,text,true,,443,407,42,42,https://restful-booker.herokuapp.com/booking/,1069,0,776
